year,GDP,first,second,third,GDP_rate
1952,679,346,141.8,191.2,
1953,824.2,381.4,192.5,250.3,
1954,859.4,395.5,211.7,252.2,
1955,910.8,424.8,222.2,263.8,
1956,1029,447.9,280.7,300.4,
1957,1069.3,433.9,317,318.4,
1958,1308.2,449.9,483.5,374.8,
1959,1440.4,387.2,615.5,437.6,
1960,1457.5,343.8,648.2,465.5,
1961,1220.9,445.1,388.9,387,-27.29999999
1962,1151.2,457.2,359.3,334.8,-5.6
1963,1236.4,502,407.6,326.8,10.19999998
1964,1455.5,564,513.5,378,18.3
1965,1717.2,656.9,602.2,458.1,17
1966,1873.1,708.5,709.5,455.1,10.70000001
1967,1780.3,720.6,602.8,456.9,-5.700000001
1968,1730.2,732.8,537.3,460,-4.100000005
1969,1945.8,742.8,689.1,513.9,16.9
1970,2261.3,800.4,912.2,548.7,19.39999999
1971,2435.3,833.7,1022.8,578.7,7.000000001
1972,2530.2,834.8,1084.2,611.2,3.800000005
1973,2733.4,915.6,1173,644.7,7.899999998
1974,2803.7,953.7,1192,658.1,2.300000001
1975,3013.1,979.8,1370.5,662.8,8.699999996
1976,2961.5,975.7,1337.2,648.6,-1.599999998
1977,3221.1,950.6,1509.1,761.4,7.599999996
1978,3645.2,1027.5,1745.2,872.5,11.88190617
1979,4062.6,1270.2,1913.5,878.9,7.599999997
1980,4545.6,1371.6,2192,982,7.806691451
1981,4891.6,1559.5,2255.5,1076.6,5.17241379
1982,5323.4,1777.4,2383,1163,9.016393447
1983,5962.7,1978.4,2646.2,1338.1,10.7518797
1984,7208.1,2316.1,3105.7,1786.3,15.20706042
1985,9016,2564.4,3866.6,2585,13.5533294
1986,10275.2,2788.7,4492.7,2993.8,8.925791386
1987,12058.6,3233,5251.6,3574,11.7198666
1988,15042.8,3865.4,6587.2,4590.3,11.30063966
1989,16992.3,4265.9,7278,5448.4,4.214559386
1990,18667.8,5062,7717.4,5888.4,3.933823529
1991,21781.5,5342.2,9102.2,7337.1,9.267775026
1992,26923.5,5866.6,11699.5,9357.4,14.27646488
1993,35333.9,6963.8,16454.4,11915.7,13.93767705
1994,48197.9,9572.7,22445.4,16179.8,13.07807061
1995,60793.7,12135.8,28679.5,19978.5,10.99384345
1996,71176.6,14015.4,33835,23326.2,9.924722663
1997,78973,14441.9,37543,26988.1,9.226887728
1998,84402.3,14817.6,39004.2,30580.5,7.853489523
1999,89677.1,14770,41033.6,33873.4,7.618173474
2000,99214.6,14944.7,45555.9,38714,8.42928216
2001,109655.2,15781.3,49512.3,44361.6,8.298374411
2002,120332.7,16537,53896.8,49898.9,9.090909091
2003,135822.8,17381.7,62436.3,56004.7,10.01997337
2004,159878.3,21412.7,73904.3,64561.3,10.07564297
2005,183217.4,22420,87364.6,73432.9,11.35239142
2006,211923.5,24040,103162,84721.4,12.6882251
2007,257305.6,28627,124799,103879.6,14.19496167
2008,300670,34000,146183.4,120486.6,9.623377486
2009,345629.2,34154,157850.1,153625.1,9.233551095
2010,408903,39354.6,188804.9,180743.4,10.63170823
2011,484123.5,46153.3,223390.3,214579.9,9.484506202
2012,534123,50892.7,240200.4,243030,7.750297593
2013,588018.8,55321.7,256810,275887,7.68380997
2014,636138.7,58336.1,271764.5,306038.2,7.268460929
2015,676708,60863,274278,341567,6.9
